country,year,dim1,hale,le,hale_yield
Norway,2000,Male,67.0,75.86,0.8832059056156077
Norway,2000,Female,69.81,81.15,0.8602587800369685
Oman,2019,Both sexes,64.68,73.9,0.8752368064952639
Oman,2019,Male,64.51,72.97,0.8840619432643553
Oman,2019,Female,64.51,75.26,0.857161838958278
Oman,2015,Both sexes,63.75,72.52,0.8790678433535577
Oman,2015,Male,63.42,71.4,0.888235294117647
Oman,2015,Female,63.78,74.09,0.8608449183425563
Oman,2010,Both sexes,62.04,70.36,0.8817509948834565
Oman,2010,Male,61.54,68.97,0.8922720023198493
Oman,2010,Female,62.65,72.55,0.8635423845623708
Oman,2000,Both sexes,60.94,69.07,0.8822933256116984
Oman,2000,Male,60.15,67.26,0.8942908117752006
Oman,2000,Female,61.88,71.53,0.8650915699706417
Pakistan,2019,Both sexes,56.87,65.61,0.8667885992988873
Pakistan,2019,Male,56.91,64.59,0.8810961449140733
Pakistan,2019,Female,56.83,66.72,0.8517685851318945
Pakistan,2015,Both sexes,55.78,64.18,0.8691181053287628
Pakistan,2015,Male,55.78,63.12,0.8837135614702155
Pakistan,2015,Female,55.8,65.36,0.8537331701346389
Pakistan,2010,Both sexes,54.49,62.64,0.8698914431673053
Pakistan,2010,Male,54.45,61.53,0.8849341784495368
Pakistan,2010,Female,54.54,63.9,0.8535211267605634
Pakistan,2000,Both sexes,52.35,60.08,0.8713382157123836
Pakistan,2000,Male,52.58,59.32,0.8863789615643964
Pakistan,2000,Female,52.13,60.99,0.8547302836530579
Panama,2019,Both sexes,68.68,79.29,0.8661874132929752
Panama,2019,Male,67.39,76.65,0.879191128506197
Panama,2019,Female,70.04,82.06,0.8535218133073361
Panama,2015,Both sexes,68.28,78.72,0.8673780487804879
Panama,2015,Male,67.02,76.17,0.879873966128397
Panama,2015,Female,69.61,81.38,0.8553698697468666
Panama,2010,Both sexes,67.47,77.53,0.8702437766026054
Panama,2010,Male,65.92,74.63,0.8832909017821252
Panama,2010,Female,69.15,80.65,0.8574085554866708
Panama,2000,Both sexes,67.2,77.23,0.8701281885277742
Panama,2000,Male,65.91,74.6,0.8835120643431635
Panama,2000,Female,68.6,80.08,0.8566433566433566
Papua New Guinea,2019,Both sexes,57.08,65.3,0.8741194486983155
Papua New Guinea,2019,Male,56.16,63.4,0.8858044164037855
Papua New Guinea,2019,Female,58.06,67.36,0.861935866983373
Papua New Guinea,2015,Both sexes,56.42,64.49,0.8748643200496202
Papua New Guinea,2015,Male,55.51,62.57,0.8871663736614991
Papua New Guinea,2015,Female,57.4,66.54,0.8626390141268409
Papua New Guinea,2010,Both sexes,55.43,63.42,0.8740145064648376
Papua New Guinea,2010,Male,54.5,61.52,0.885890767230169
Papua New Guinea,2010,Female,56.39,65.4,0.8622324159021406
Papua New Guinea,2000,Both sexes,55.28,63.29,0.8734397219149945
Papua New Guinea,2000,Male,54.14,61.12,0.8857984293193718
Papua New Guinea,2000,Female,56.48,65.57,0.8613695287479031
Paraguay,2019,Both sexes,65.8,75.81,0.8679593721144967
Paraguay,2019,Male,64.45,73.08,0.8819102353585113
Paraguay,2019,Female,67.32,78.85,0.8537729866835764
Paraguay,2015,Both sexes,65.63,75.56,0.8685812599258866
Paraguay,2015,Male,64.34,72.83,0.8834271591377181
Paraguay,2015,Female,67.08,78.6,0.8534351145038168
Paraguay,2010,Both sexes,65.23,74.99,0.8698493132417657
Paraguay,2010,Male,64.08,72.47,0.8842279563957499
Paraguay,2010,Female,66.48,77.73,0.8552682362022386
Paraguay,2000,Both sexes,65.0,74.8,0.8689839572192514
Paraguay,2000,Male,64.05,72.57,0.8825961140967342
Paraguay,2000,Female,65.98,77.14,0.8553279751101893
Peru,2019,Both sexes,69.5,79.9,0.8698372966207759
Peru,2019,Male,69.21,78.46,0.8821055314810095
Peru,2019,Female,69.78,81.34,0.8578805015982296
Peru,2015,Both sexes,68.85,79.08,0.8706373292867982
Peru,2015,Male,68.48,77.55,0.8830431979368151
Peru,2015,Female,69.21,80.56,0.859111221449851
Peru,2010,Both sexes,67.48,77.28,0.8731884057971014
Peru,2010,Male,67.02,75.61,0.8863906890622933
Peru,2010,Female,67.93,78.91,0.8608541376251427
Peru,2000,Both sexes,64.9,74.42,0.8720773985487773
Peru,2000,Male,64.57,72.86,0.8862201482294811
Peru,2000,Female,65.26,75.94,0.8593626547274165
Philippines,2019,Both sexes,62.0,70.43,0.8803066874911258
Philippines,2019,Male,60.14,67.4,0.8922848664688426
Philippines,2019,Female,63.94,73.6,0.86875
Philippines,2015,Both sexes,61.91,70.3,0.8806543385490754
Philippines,2015,Male,59.94,67.13,0.8928943840309846
Philippines,2015,Female,64.01,73.66,0.8689926690198209
Philippines,2010,Both sexes,61.57,69.96,0.8800743281875358
Philippines,2010,Male,59.5,66.63,0.8929911451298215
Philippines,2010,Female,63.79,73.52,0.8676550598476606
Philippines,2000,Both sexes,60.58,69.03,0.8775894538606402
Philippines,2000,Male,58.22,65.47,0.8892622575225294
Philippines,2000,Female,63.11,72.87,0.8660628516536297
Poland,2019,Both sexes,68.66,78.27,0.8772198799029002
Poland,2019,Male,65.94,74.53,0.884744398228901
Poland,2019,Female,71.33,81.93,0.870621262052972
Poland,2015,Both sexes,68.03,77.29,0.8801914866088756
Poland,2015,Male,65.12,73.36,0.8876772082878954
Poland,2015,Female,70.89,81.15,0.8735674676524954
Poland,2010,Both sexes,67.13,76.25,0.8803934426229507
Poland,2010,Male,64.04,72.08,0.8884572697003331
Poland,2010,Female,70.17,80.37,0.8730869727510264
Poland,2000,Both sexes,65.0,73.7,0.8819538670284939
Poland,2000,Male,61.9,69.51,0.8905193497338512
Poland,2000,Female,68.09,77.88,0.8742937853107345
Portugal,2019,Both sexes,70.96,81.57,0.8699276694863307
Portugal,2019,Male,69.57,78.56,0.8855651731160895
Portugal,2019,Female,72.25,84.4,0.8560426540284359
Portugal,2015,Both sexes,70.49,80.89,0.871430337495364
Portugal,2015,Male,69.05,77.92,0.8861652977412731
Portugal,2015,Female,71.83,83.67,0.8584916935580256
Portugal,2010,Both sexes,69.34,79.73,0.869685187507839
Portugal,2010,Male,67.84,76.59,0.8857553205379293
Portugal,2010,Female,70.76,82.74,0.8552090887116269
Portugal,2000,Both sexes,66.83,76.58,0.8726821624445025
Portugal,2000,Male,64.96,73.07,0.8890105378404269
Portugal,2000,Female,68.68,80.07,0.8577494692144375
Qatar,2019,Both sexes,67.06,77.17,0.868990540365427
Qatar,2019,Male,68.11,78.03,0.8728694092015891
Qatar,2019,Female,65.06,76.63,0.8490147461829571
Qatar,2015,Both sexes,66.44,76.41,0.8695196963748201
Qatar,2015,Male,67.43,77.17,0.8737851496695608
Qatar,2015,Female,64.53,75.93,0.8498617147372579
Qatar,2010,Both sexes,64.72,74.08,0.8736501079913607
Qatar,2010,Male,65.76,74.97,0.8771508603441377
Qatar,2010,Female,63.11,73.87,0.8543387031271151
Qatar,2000,Both sexes,62.45,71.29,0.8759994389114882
Qatar,2000,Male,62.84,71.11,0.883701307832935
Qatar,2000,Female,61.43,71.74,0.8562865904655702
Republic of Korea,2019,Both sexes,73.06,83.3,0.8770708283313325
Republic of Korea,2019,Male,71.32,80.32,0.8879482071713147
Republic of Korea,2019,Female,74.66,86.09,0.8672319665466371
Republic of Korea,2015,Both sexes,72.03,82.2,0.8762773722627737
Republic of Korea,2015,Male,70.17,79.03,0.8878906744274326
Republic of Korea,2015,Female,73.73,85.12,0.8661889097744361
Republic of Korea,2010,Both sexes,70.88,80.58,0.8796227351700173
Republic of Korea,2010,Male,68.7,77.12,0.8908195020746887
Republic of Korea,2010,Female,72.88,83.78,0.8698973502029124
Republic of Korea,2000,Both sexes,67.36,76.21,0.8838735074137253
Republic of Korea,2000,Male,64.93,72.49,0.895709753069389
Republic of Korea,2000,Female,69.67,79.76,0.8734954864593781
Republic of Moldova,2019,Both sexes,64.54,73.26,0.880971880971881
Republic of Moldova,2019,Male,61.88,69.26,0.8934449898931562
Republic of Moldova,2019,Female,67.09,77.12,0.8699429460580913
Republic of Moldova,2015,Both sexes,62.86,71.13,0.8837340081540841
Republic of Moldova,2015,Male,60.2,67.19,0.895966661705611
Republic of Moldova,2015,Female,65.5,75.05,0.8727514990006663
Republic of Moldova,2010,Both sexes,61.04,68.81,0.8870803662258392
Republic of Moldova,2010,Male,58.13,64.62,0.8995666976168368
Republic of Moldova,2010,Female,64.02,73.11,0.8756668034468609
Republic of Moldova,2000,Both sexes,59.26,66.87,0.8861970988485119
Republic of Moldova,2000,Male,56.65,63.15,0.897070467141726
Republic of Moldova,2000,Female,61.82,70.53,0.8765064511555366
The former Yugoslav Republic of Macedonia,2019,Both sexes,66.14,74.82,0.8839882384389202
The former Yugoslav Republic of Macedonia,2019,Male,65.05,72.84,0.893053267435475
The former Yugoslav Republic of Macedonia,2019,Female,67.27,76.87,0.8751138285416936
The former Yugoslav Republic of Macedonia,2015,Both sexes,65.33,73.73,0.8860707988607079
The former Yugoslav Republic of Macedonia,2015,Male,64.16,71.67,0.8952141760848332
The former Yugoslav Republic of Macedonia,2015,Female,66.54,75.87,0.8770264926848557
The former Yugoslav Republic of Macedonia,2010,Both sexes,64.86,73.11,0.8871563397620025
The former Yugoslav Republic of Macedonia,2010,Male,63.56,70.92,0.8962210941906373
The former Yugoslav Republic of Macedonia,2010,Female,66.21,75.4,0.8781167108753314
The former Yugoslav Republic of Macedonia,2000,Both sexes,63.19,71.11,0.8886232597384334
The former Yugoslav Republic of Macedonia,2000,Male,61.82,68.86,0.8977635782747604
The former Yugoslav Republic of Macedonia,2000,Female,64.63,73.48,0.8795590636908001
Romania,2019,Both sexes,66.85,75.57,0.8846102950906445
Romania,2019,Male,64.3,71.95,0.8936761640027796
Romania,2019,Female,69.44,79.26,0.8761039616452182
Romania,2015,Both sexes,66.28,74.82,0.8858593958834537
Romania,2015,Male,63.76,71.28,0.8945005611672278
Romania,2015,Female,68.83,78.42,0.8777097679163478
Romania,2010,Both sexes,65.43,73.7,0.8877883310719132
Romania,2010,Male,62.81,70.07,0.8963893249607536
Romania,2010,Female,68.12,77.43,0.8797623660080072
Romania,2000,Both sexes,63.27,71.39,0.8862585796330018
Romania,2000,Male,60.72,67.98,0.8932038834951456
Romania,2000,Female,65.91,74.92,0.8797383876134542
Russian Federation,2019,Both sexes,64.21,73.23,0.876826437252492
Russian Federation,2019,Male,60.7,68.18,0.8902904077442064
Russian Federation,2019,Female,67.53,78.0,0.8657692307692307
Russian Federation,2015,Both sexes,62.67,71.3,0.8789621318373072
Russian Federation,2015,Male,58.77,65.85,0.89248291571754
Russian Federation,2015,Female,66.46,76.6,0.8676240208877285
Russian Federation,2010,Both sexes,60.48,68.76,0.8795811518324607
Russian Federation,2010,Male,56.16,62.94,0.892278360343184
Russian Federation,2010,Female,64.9,74.72,0.868576017130621
Russian Federation,2000,Both sexes,57.34,65.29,0.8782355644049624
Russian Federation,2000,Male,52.42,59.02,0.8881735005083022
Russian Federation,2000,Female,62.78,72.25,0.8689273356401385
Rwanda,2019,Both sexes,60.21,69.1,0.8713458755426918
